Timestamp,XAGUSD_Open,XAGUSD_High,XAGUSD_Low,XAGUSD_Close,XAGUSD_Trend
2003-08-14 00:00:00,4.955,5.006,4.711,4.901,-1.0
2003-08-15 00:00:00,4.965,5.002,4.6960000000000015,4.877,-1.0
2003-08-18 00:00:00,4.854,4.944,4.64,4.766,1.0
2003-08-19 00:00:00,4.833,4.921,4.669,4.8210000000000015,-1.0
2003-08-20 00:00:00,4.796,4.994,4.72,4.802,1.0
2003-08-21 00:00:00,4.846,5.009,4.74,4.919,-1.0
2003-08-22 00:00:00,4.7860000000000005,4.971,4.662,4.845,1.0
2003-08-25 00:00:00,4.849,4.961,4.689,4.869,1.0
2003-08-26 00:00:00,4.825,4.961,4.707,4.883,-1.0
2003-08-27 00:00:00,4.8439999999999985,4.976,4.726,4.846,1.0
2003-08-28 00:00:00,5.004,5.087,4.857,4.905,1.0
2003-08-29 00:00:00,5.007,5.065,4.848,5.009,-1.0
2003-09-01 00:00:00,4.922,5.083,4.843,4.9860000000000015,-1.0
2003-09-02 00:00:00,5.013,5.107,4.802,4.935,-1.0
2003-09-03 00:00:00,4.877,4.988,4.739,4.8260000000000005,1.0
2003-09-04 00:00:00,4.924,5.046,4.797,4.9030000000000005,-1.0
2003-09-05 00:00:00,4.897,5.01,4.756,4.8580000000000005,1.0
2003-09-08 00:00:00,4.99,5.074,4.848,4.869,1.0
2003-09-09 00:00:00,4.9510000000000005,5.073,4.813,4.876,1.0
2003-09-10 00:00:00,5.185,5.214,4.958,5.119,-1.0
2003-09-11 00:00:00,5.167000000000002,5.214,4.941,5.092,1.0
2003-09-12 00:00:00,5.144,5.271,5.06,5.225,-1.0
2003-09-15 00:00:00,5.066,5.1789999999999985,4.902,5.046,1.0
2003-09-16 00:00:00,5.038,5.184,4.875,5.093,-1.0
2003-09-17 00:00:00,5.073,5.1770000000000005,4.898,5.002,1.0
2003-09-18 00:00:00,5.134,5.232,4.997,5.061,-1.0
2003-09-19 00:00:00,5.039,5.182,4.928,5.057,1.0
2003-09-22 00:00:00,5.186,5.2879999999999985,5.0139999999999985,5.2170000000000005,-1.0
2003-09-23 00:00:00,5.165,5.214,4.974,5.059,1.0
2003-09-24 00:00:00,5.155,5.199,4.947,5.112,1.0
2003-09-25 00:00:00,5.245,5.307,5.01,5.2170000000000005,-1.0
2003-09-26 00:00:00,5.083,5.2029999999999985,4.923,4.966,-1.0
2003-09-29 00:00:00,4.975,5.115,4.849,4.933,1.0
2003-09-30 00:00:00,4.95,5.05,4.816,4.953,1.0
2003-10-01 00:00:00,5.008,5.115,4.85,5.0,-1.0
2003-10-02 00:00:00,4.981,5.081,4.82,4.925,-1.0
2003-10-03 00:00:00,4.878,5.074,4.827,4.883,-1.0
2003-10-06 00:00:00,4.739,4.864,4.542,4.776,1.0
2003-10-07 00:00:00,4.681,4.814,4.57,4.779,-1.0
2003-10-08 00:00:00,4.707,4.9,4.601,4.634,1.0
2003-10-09 00:00:00,4.737,4.854,4.612,4.819,-1.0
2003-10-10 00:00:00,4.646,4.8660000000000005,4.541,4.729,1.0
2003-10-13 00:00:00,4.857,4.879,4.624,4.806,-1.0
2003-10-14 00:00:00,4.853,4.939,4.683,4.7010000000000005,1.0
2003-10-15 00:00:00,4.865,4.914,4.659,4.825,1.0
2003-10-16 00:00:00,4.699,4.924,4.672,4.8889999999999985,-1.0
2003-10-17 00:00:00,4.77,4.927,4.652,4.703,1.0
2003-10-20 00:00:00,4.83,4.935,4.677,4.793,-1.0
2003-10-21 00:00:00,4.787,4.9460000000000015,4.637,4.775,1.0
2003-10-22 00:00:00,4.899,5.008,4.743,4.9289999999999985,-1.0
2003-10-23 00:00:00,5.009,5.093,4.823,4.922,1.0
2003-10-24 00:00:00,5.016,5.172999999999999,4.869,4.958,1.0
2003-10-27 00:00:00,4.949,5.105,4.82,4.973,1.0
2003-10-28 00:00:00,5.007,5.121,4.887,5.044,-1.0
2003-10-29 00:00:00,4.985,5.084,4.823,4.971,-1.0
2003-10-30 00:00:00,5.075,5.124,4.862,4.884,1.0
2003-10-31 00:00:00,5.065,5.103,4.832,4.952,1.0
2003-11-03 00:00:00,5.04,5.05,5.03,5.05,-1.0
2003-11-04 00:00:00,4.93,4.95,4.92,4.93,1.0
2003-11-05 00:00:00,5.03,5.04,5.0,5.03,1.0
2003-11-06 00:00:00,4.96,5.09,4.96,5.08,-1.0
2003-11-07 00:00:00,4.95,4.97,4.94,4.95,1.0
2003-11-10 00:00:00,5.04,5.05,4.94,5.05,1.0
2003-11-11 00:00:00,5.07,5.08,5.04,5.08,-1.0
2003-11-12 00:00:00,5.05,5.06,5.04,5.05,1.0
2003-11-13 00:00:00,5.27,5.31,5.25,5.27,-1.0
2003-11-14 00:00:00,5.27,5.28,5.25,5.26,1.0
2003-11-17 00:00:00,5.37,5.39,5.37,5.38,-1.0
2003-11-18 00:00:00,5.24,5.25,5.23,5.24,1.0
2003-11-19 00:00:00,5.36,5.45,5.35,5.39,-1.0
2003-11-20 00:00:00,5.26,5.3,5.25,5.28,-1.0
2003-11-21 00:00:00,5.25,5.27,5.24,5.26,1.0
2003-11-24 00:00:00,5.27,5.28,5.27,5.28,-1.0
2003-11-25 00:00:00,5.24,5.26,5.23,5.24,1.0
2003-11-26 00:00:00,5.28,5.28,5.26,5.27,1.0
2003-11-27 00:00:00,5.32,5.34,5.31,5.32,-1.0
2003-11-28 00:00:00,5.31,5.31,5.29,5.31,1.0
2003-12-01 00:00:00,5.32,5.35,5.32,5.35,1.0
2003-12-02 00:00:00,5.42,5.43,5.42,5.43,1.0
2003-12-03 00:00:00,5.49,5.49,5.46,5.47,-1.0
2003-12-04 00:00:00,5.45,5.45,5.44,5.45,-1.0
2003-12-05 00:00:00,5.44,5.44,5.4,5.42,1.0
2003-12-08 00:00:00,5.45,5.46,5.45,5.46,1.0
2003-12-09 00:00:00,5.52,5.53,5.52,5.52,1.0
2003-12-10 00:00:00,5.59,5.6,5.59,5.6,-1.0
2003-12-11 00:00:00,5.54,5.55,5.51,5.52,1.0
2003-12-12 00:00:00,5.55,5.57,5.54,5.56,-1.0
2003-12-15 00:00:00,5.54,5.54,5.45,5.46,1.0
2003-12-16 00:00:00,5.62,5.62,5.6,5.61,0.0
2003-12-17 00:00:00,5.585,5.61,5.58,5.61,1.0
2003-12-18 00:00:00,5.68,5.7,5.68,5.69,-1.0
2003-12-19 00:00:00,5.69,5.69,5.67,5.68,1.0
2003-12-22 00:00:00,5.69,5.71,5.68,5.71,-1.0
2003-12-23 00:00:00,5.68,5.68,5.66,5.67,1.0
2003-12-24 00:00:00,5.71,5.71,5.69,5.7,1.0
2003-12-25 00:00:00,5.76,5.76,5.76,5.76,0.0
2003-12-26 00:00:00,5.75,5.76,5.75,5.76,-1.0
2003-12-29 00:00:00,5.73,5.75,5.7,5.75,1.0
2003-12-30 00:00:00,5.9,5.9,5.88,5.89,1.0
2003-12-31 00:00:00,5.98,5.98,5.95,5.98,-1.0
2004-01-01 00:00:00,5.756,5.885,5.71,5.829,1.0
2004-01-02 00:00:00,5.82,5.915,5.682,5.859,1.0
2004-01-05 00:00:00,5.865,5.982,5.699,5.9289999999999985,1.0
2004-01-06 00:00:00,6.066,6.175,5.8279999999999985,5.9910000000000005,1.0
2004-01-07 00:00:00,6.153,6.2639999999999985,5.9270000000000005,6.178,-1.0
2004-01-08 00:00:00,6.039,6.221,5.892,6.001,1.0
2004-01-09 00:00:00,6.0829999999999975,6.184,5.914,6.095,1.0
2004-01-12 00:00:00,6.3210000000000015,6.464,6.165,6.376,-1.0
2004-01-13 00:00:00,6.471,6.56,6.296,6.358,1.0
2004-01-14 00:00:00,6.515,6.57,6.287000000000001,6.505,-1.0
2004-01-15 00:00:00,6.135,6.403,6.1110000000000015,6.274,-1.0
2004-01-16 00:00:00,6.004,6.205,5.901,6.085,1.0
2004-01-19 00:00:00,6.1720000000000015,6.346,6.013,6.197,-1.0
2004-01-20 00:00:00,6.214,6.291,6.024,6.119,1.0
2004-01-21 00:00:00,6.174,6.3039999999999985,6.017,6.209,-1.0
2004-01-22 00:00:00,6.157,6.218,5.939,6.13,1.0
2004-01-23 00:00:00,6.246,6.285,6.047999999999999,6.186,-1.0
2004-01-26 00:00:00,6.2120000000000015,6.3610000000000015,6.061,6.117000000000001,-1.0
2004-01-27 00:00:00,6.172999999999999,6.269,5.981,6.04,1.0
2004-01-28 00:00:00,6.395,6.471,6.225,6.401,-1.0
2004-01-29 00:00:00,6.352,6.52,6.204,6.34,-1.0
2004-01-30 00:00:00,6.147,6.297999999999999,5.994,6.14,1.0
2004-02-02 00:00:00,6.19,6.28,6.19,6.26,-1.0
2004-02-03 00:00:00,6.04,6.141,6.04,6.05,1.0
2004-02-04 00:00:00,6.09,6.14,6.08,6.08,1.0
2004-02-05 00:00:00,6.12,6.13,6.06,6.12,-1.0
2004-02-06 00:00:00,6.08,6.13,6.08,6.08,1.0
2004-02-09 00:00:00,6.1670000000000025,6.26,6.1,6.26,1.0
2004-02-10 00:00:00,6.4,6.43,6.29,6.42,-1.0
2004-02-11 00:00:00,6.37,6.42,6.35,6.37,1.0
2004-02-12 00:00:00,6.55,6.57,6.38,6.57,0.0
2004-02-13 00:00:00,6.61,6.61,6.55,6.57,-1.0
2004-02-16 00:00:00,6.55,6.57,6.53,6.54,1.0
2004-02-17 00:00:00,6.55,6.57,6.54,6.57,1.0
2004-02-18 00:00:00,6.79,6.86,6.62,6.79,-1.0
2004-02-19 00:00:00,6.62,6.8,6.62,6.65,1.0
2004-02-20 00:00:00,6.65,6.67,6.65,6.66,-1.0
2004-02-23 00:00:00,6.52,6.66,6.38,6.44,1.0
2004-02-24 00:00:00,6.47,6.51,6.45,6.465,1.0
2004-02-25 00:00:00,6.61,6.64,6.49,6.64,-1.0
2004-02-26 00:00:00,6.51,6.54,6.51,6.54,1.0
2004-02-27 00:00:00,6.71,6.71,6.65,6.65,1.0
2004-03-01 00:00:00,6.468,6.69,6.4129999999999985,6.6720000000000015,1.0
2004-03-02 00:00:00,6.8370000000000015,6.928,6.564,6.795,-1.0
2004-03-03 00:00:00,6.585,6.6679999999999975,6.4289999999999985,6.5379999999999985,1.0
2004-03-04 00:00:00,6.589,6.738,6.4460000000000015,6.647,-1.0
2004-03-05 00:00:00,6.695,6.72,6.455,6.547999999999999,1.0
2004-03-08 00:00:00,6.695,6.9129999999999985,6.63,6.809,1.0
2004-03-09 00:00:00,6.795,6.97,6.65,6.865,1.0
2004-03-10 00:00:00,7.004,7.158,6.8210000000000015,7.0470000000000015,-1.0
2004-03-11 00:00:00,7.018,7.135,6.839,7.009,-1.0
2004-03-12 00:00:00,6.9460000000000015,7.182,6.83,6.976,1.0
2004-03-15 00:00:00,6.9670000000000005,7.11,6.739,6.999,-1.0
2004-03-16 00:00:00,6.988,7.134,6.854,6.93,1.0
2004-03-17 00:00:00,6.996,7.113,6.812,6.933,1.0
2004-03-18 00:00:00,7.1179999999999986,7.246,6.9110000000000005,7.109,1.0
2004-03-19 00:00:00,7.336,7.42,7.122000000000001,7.34,1.0
2004-03-22 00:00:00,7.409,7.532999999999999,7.237,7.454,1.0
2004-03-23 00:00:00,7.491,7.6179999999999986,7.309,7.542000000000002,1.0
2004-03-24 00:00:00,7.6,7.718,7.405,7.575,-1.0
2004-03-25 00:00:00,7.41,7.561,7.282,7.46,1.0
2004-03-26 00:00:00,7.525,7.56,7.267,7.466,1.0
2004-03-29 00:00:00,7.536,7.71,7.395,7.676,-1.0
2004-03-30 00:00:00,7.375,7.615,7.309,7.481,1.0
2004-03-31 00:00:00,7.612,7.747999999999997,7.479,7.699,1.0
2004-04-01 00:00:00,7.757999999999999,7.896,7.5470000000000015,7.853,1.0
2004-04-02 00:00:00,7.838999999999999,8.116,7.791,7.893,1.0
2004-04-05 00:00:00,8.075,8.186,7.851,8.122,-1.0
2004-04-06 00:00:00,8.0,8.096,7.829,7.996,1.0
2004-04-07 00:00:00,8.121,8.261000000000001,7.961,8.147,-1.0
2004-04-08 00:00:00,8.027000000000001,8.227,7.921,8.012,1.0
2004-04-09 00:00:00,8.023,8.079,7.849,8.023,-1.0
2004-04-12 00:00:00,8.068,8.13,7.841,7.9689999999999985,-1.0
2004-04-13 00:00:00,7.887,8.022,7.737,7.797999999999999,-1.0
2004-04-14 00:00:00,7.266,7.426,7.112,7.269,-1.0
2004-04-15 00:00:00,6.988,7.041,6.732,6.98,-1.0
2004-04-16 00:00:00,7.034,7.155,6.811,6.949,1.0
2004-04-19 00:00:00,6.99,7.207999999999997,6.857,7.079,1.0
2004-04-20 00:00:00,7.044,7.2120000000000015,6.891,7.106,-1.0
2004-04-21 00:00:00,6.444,6.61,6.271,6.4979999999999976,-1.0
2004-04-22 00:00:00,6.035,6.235,5.926,6.138,-1.0
2004-04-23 00:00:00,6.011,6.155,5.831,6.047999999999999,-1.0
2004-04-26 00:00:00,6.034,6.202000000000001,5.8660000000000005,5.968,1.0
2004-04-27 00:00:00,6.053,6.225,5.899,6.11,1.0
2004-04-28 00:00:00,6.206,6.3020000000000005,5.9579999999999975,6.229,-1.0
2004-04-29 00:00:00,5.712999999999999,5.84,5.496,5.7189999999999985,1.0
2004-04-30 00:00:00,5.809,5.886,5.566,5.752999999999999,1.0
2004-05-03 00:00:00,6.0139999999999985,6.095,5.816,5.9910000000000005,-1.0
2004-05-04 00:00:00,5.978,6.0139999999999985,5.695,5.949,1.0
2004-05-05 00:00:00,5.934,6.074,5.801,5.98,-1.0
2004-05-06 00:00:00,6.023,6.074,5.771,5.909,-1.0
2004-05-07 00:00:00,5.6,5.791,5.496,5.704,-1.0
