Timestamp,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Trend
2003-08-14 00:00:00,1.6062299999999998,1.60808,1.60505,1.60722,-1.0
2003-08-15 00:00:00,1.60228,1.60285,1.6016,1.6018299999999999,-1.0
2003-08-18 00:00:00,1.59775,1.59839,1.5954,1.59599,-1.0
2003-08-19 00:00:00,1.5894,1.58954,1.58751,1.5887,-1.0
2003-08-20 00:00:00,1.58712,1.58895,1.5869799999999998,1.58764,1.0
2003-08-21 00:00:00,1.59286,1.5937299999999999,1.59121,1.5916299999999999,-1.0
2003-08-22 00:00:00,1.57899,1.57911,1.57661,1.57722,-1.0
2003-08-25 00:00:00,1.5699,1.57221,1.56916,1.5716700000000001,-1.0
2003-08-26 00:00:00,1.56714,1.56916,1.56636,1.5666,1.0
2003-08-27 00:00:00,1.56865,1.56969,1.5670899999999999,1.5673,1.0
2003-08-28 00:00:00,1.5666200000000001,1.5693700000000002,1.56627,1.56903,1.0
2003-08-29 00:00:00,1.5776700000000001,1.57853,1.5771700000000002,1.57806,-1.0
2003-09-01 00:00:00,1.57891,1.57895,1.5769600000000001,1.57775,-1.0
2003-09-02 00:00:00,1.57155,1.57159,1.5704200000000001,1.57092,-1.0
2003-09-03 00:00:00,1.56657,1.5675299999999999,1.564,1.56463,1.0
2003-09-04 00:00:00,1.56985,1.57046,1.5685,1.56918,1.0
2003-09-05 00:00:00,1.58094,1.58128,1.57975,1.5807799999999999,1.0
2003-09-08 00:00:00,1.5878,1.5896299999999999,1.58759,1.58935,-1.0
2003-09-09 00:00:00,1.58345,1.58433,1.5822399999999999,1.58294,1.0
2003-09-10 00:00:00,1.59059,1.5915,1.58982,1.5909,-1.0
2003-09-11 00:00:00,1.59008,1.5908799999999998,1.58945,1.5908799999999998,1.0
2003-09-12 00:00:00,1.5934700000000002,1.59448,1.59302,1.59391,1.0
2003-09-15 00:00:00,1.60414,1.6055700000000002,1.6036700000000002,1.60535,-1.0
