Timestamp,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Trend
2003-08-14 00:00:00,361.595,361.895,360.217,360.781,1.0
2003-08-15 00:00:00,365.049,366.295,364.447,365.395,-1.0
2003-08-18 00:00:00,362.792,362.994,361.0,361.356,-1.0
2003-08-19 00:00:00,357.895,359.095,357.747,358.51800000000014,1.0
2003-08-20 00:00:00,361.024,361.898,360.924,361.36800000000005,1.0
2003-08-21 00:00:00,365.139,366.145,364.549,365.464,-1.0
2003-08-22 00:00:00,360.49300000000005,362.195,360.13,361.32,1.0
2003-08-25 00:00:00,361.823,362.62300000000016,361.213,361.772,-1.0
2003-08-26 00:00:00,360.26300000000015,361.095,359.941,360.99800000000016,1.0
2003-08-27 00:00:00,363.733,364.80800000000005,363.323,363.639,1.0
2003-08-28 00:00:00,371.695,371.695,369.702,370.386,-1.0
2003-08-29 00:00:00,368.932,369.595,368.469,369.295,1.0
2003-09-01 00:00:00,374.093,375.159,373.256,374.301,1.0
2003-09-02 00:00:00,375.442,377.298,375.119,377.06300000000016,-1.0
2003-09-03 00:00:00,371.814,372.695,371.457,372.008,1.0
2003-09-04 00:00:00,373.695,374.395,372.875,373.707,-1.0
2003-09-05 00:00:00,372.274,373.369,371.99300000000005,372.995,1.0
2003-09-08 00:00:00,375.941,376.37300000000016,374.972,375.008,1.0
2003-09-09 00:00:00,374.57,375.098,374.218,375.024,1.0
2003-09-10 00:00:00,381.181,381.56,379.841,380.527,-1.0
2003-09-11 00:00:00,379.388,379.598,378.235,379.199,-1.0
2003-09-12 00:00:00,378.999,379.397,378.364,378.833,-1.0
2003-09-15 00:00:00,374.83,375.394,374.11300000000006,374.718,1.0
2003-09-16 00:00:00,373.68800000000016,375.062,373.387,374.966,-1.0
2003-09-17 00:00:00,372.897,373.927,372.629,373.11,1.0
2003-09-18 00:00:00,375.86,376.377,374.665,375.888,-1.0
2003-09-19 00:00:00,375.922,376.28,375.136,375.366,1.0
2003-09-22 00:00:00,383.568,386.71,383.568,386.259,1.0
2003-09-23 00:00:00,386.001,386.374,385.621,386.30800000000005,-1.0
2003-09-24 00:00:00,384.56300000000016,385.159,384.051,384.889,1.0
2003-09-25 00:00:00,387.572,388.764,386.271,387.881,-1.0
2003-09-26 00:00:00,383.86800000000005,385.05300000000005,383.602,383.905,-1.0
2003-09-29 00:00:00,380.639,381.246,379.994,380.604,1.0
2003-09-30 00:00:00,382.195,382.526,380.884,382.419,1.0
2003-10-01 00:00:00,384.281,384.698,383.293,383.909,1.0
2003-10-02 00:00:00,384.088,384.366,383.427,384.224,-1.0
2003-10-03 00:00:00,381.73,382.956,381.64,382.956,-1.0
2003-10-06 00:00:00,371.247,372.047,370.621,371.52,1.0
2003-10-07 00:00:00,372.249,373.681,372.032,373.386,1.0
2003-10-08 00:00:00,376.256,377.274,375.388,375.964,-1.0
2003-10-09 00:00:00,375.382,375.969,374.385,375.458,-1.0
2003-10-10 00:00:00,370.33,370.771,369.315,370.287,1.0
2003-10-13 00:00:00,373.499,374.266,372.27,373.077,1.0
2003-10-14 00:00:00,373.702,373.92,373.0,373.418,1.0
2003-10-15 00:00:00,374.814,375.298,373.976,374.003,-1.0
2003-10-16 00:00:00,372.795,372.898,371.625,372.695,-1.0
2003-10-17 00:00:00,371.782,371.782,370.174,370.706,1.0
2003-10-20 00:00:00,372.066,372.18,371.057,372.016,1.0
2003-10-21 00:00:00,372.302,373.13,371.977,372.989,1.0
2003-10-22 00:00:00,379.911,380.544,379.233,379.595,1.0
2003-10-23 00:00:00,384.788,386.039,383.87300000000016,385.047,-1.0
2003-10-24 00:00:00,384.295,384.9,383.754,384.9,1.0
2003-10-27 00:00:00,387.841,388.056,386.835,387.641,-1.0
2003-10-28 00:00:00,387.41,387.784,385.804,386.001,-1.0
2003-10-29 00:00:00,381.944,383.064,381.859,382.106,1.0
2003-10-30 00:00:00,385.329,385.755,384.627,385.358,-1.0
2003-10-31 00:00:00,383.093,383.30800000000005,380.926,381.047,1.0
2003-11-03 00:00:00,383.801,384.65,383.005,383.522,-1.0
2003-11-04 00:00:00,375.905,377.398,375.66,376.806,1.0
2003-11-05 00:00:00,378.758,379.548,378.398,378.787,1.0
2003-11-06 00:00:00,381.795,382.495,380.403,382.295,-1.0
2003-11-07 00:00:00,379.355,380.098,379.046,379.795,1.0
2003-11-10 00:00:00,382.185,383.794,381.976,383.485,1.0
2003-11-11 00:00:00,385.224,387.995,384.778,387.698,-1.0
2003-11-12 00:00:00,387.311,388.149,386.724,387.395,1.0
2003-11-13 00:00:00,393.434,393.798,392.162,392.651,1.0
2003-11-14 00:00:00,394.095,394.298,393.377,393.773,1.0
2003-11-17 00:00:00,398.624,398.742,397.385,398.039,-1.0
2003-11-18 00:00:00,390.645,392.995,390.209,392.316,1.0
2003-11-19 00:00:00,396.901,400.048,396.901,399.295,-1.0
2003-11-20 00:00:00,393.937,395.195,393.798,394.457,-1.0
2003-11-21 00:00:00,393.739,394.395,393.272,393.781,1.0
2003-11-24 00:00:00,395.539,395.764,394.789,395.147,-1.0
2003-11-25 00:00:00,391.102,391.698,390.761,391.12,-1.0
2003-11-26 00:00:00,390.68,390.898,389.824,390.595,1.0
2003-11-27 00:00:00,395.584,396.098,394.48800000000006,394.987,-1.0
2003-11-28 00:00:00,395.397,395.80800000000005,394.018,394.539,1.0
2003-12-01 00:00:00,397.269,398.758,396.64,397.673,1.0
2003-12-02 00:00:00,401.755,402.048,400.699,400.99800000000016,1.0
2003-12-03 00:00:00,402.42,403.49800000000016,402.141,402.795,1.0
2003-12-04 00:00:00,403.008,403.698,402.611,403.039,-1.0
2003-12-05 00:00:00,401.598,402.49800000000016,400.779,400.978,1.0
2003-12-08 00:00:00,405.633,406.226,404.941,405.456,1.0
2003-12-09 00:00:00,405.846,406.698,405.144,405.656,1.0
2003-12-10 00:00:00,406.947,407.798,406.625,407.698,-1.0
2003-12-11 00:00:00,403.864,405.192,403.201,404.795,-1.0
2003-12-12 00:00:00,404.795,405.048,403.606,404.437,-1.0
2003-12-15 00:00:00,406.95,408.263,400.767,402.434,1.0
2003-12-16 00:00:00,409.095,409.298,407.704,408.675,-1.0
2003-12-17 00:00:00,407.307,408.875,407.17800000000005,408.598,1.0
2003-12-18 00:00:00,410.495,411.398,409.798,410.218,-1.0
2003-12-19 00:00:00,410.698,410.698,408.885,409.898,-1.0
2003-12-22 00:00:00,407.971,409.161,407.371,409.031,1.0
2003-12-23 00:00:00,409.272,410.048,408.608,409.121,1.0
2003-12-24 00:00:00,410.156,411.098,409.804,410.67800000000005,1.0
2003-12-25 00:00:00,411.228,411.568,411.013,411.31300000000016,1.0
2003-12-26 00:00:00,412.081,412.682,411.599,412.15,1.0
2003-12-29 00:00:00,411.674,412.575,411.035,412.296,1.0
2003-12-30 00:00:00,414.004,414.698,413.424,414.102,1.0
2003-12-31 00:00:00,415.666,415.99800000000016,414.673,415.348,-1.0
2004-01-01 00:00:00,414.922,414.922,414.386,414.596,1.0
2004-01-02 00:00:00,414.322,415.598,414.31,415.155,1.0
2004-01-05 00:00:00,415.376,417.592,414.234,416.562,1.0
2004-01-06 00:00:00,422.332,423.698,421.611,422.918,-1.0
2004-01-07 00:00:00,420.773,421.598,419.395,420.299,-1.0
2004-01-08 00:00:00,419.574,420.098,418.136,419.1,1.0
2004-01-09 00:00:00,423.298,423.398,421.658,422.921,1.0
2004-01-12 00:00:00,425.853,426.327,423.546,424.899,-1.0
2004-01-13 00:00:00,424.598,425.595,423.227,423.476,-1.0
2004-01-14 00:00:00,423.389,424.397,423.172,423.172,-1.0
2004-01-15 00:00:00,418.98,421.098,417.68800000000016,418.196,-1.0
2004-01-16 00:00:00,408.546,409.09,406.932,407.78,-1.0
2004-01-19 00:00:00,407.18800000000016,407.475,406.0,406.812,-1.0
2004-01-20 00:00:00,406.449,406.798,405.217,405.543,1.0
2004-01-21 00:00:00,411.99800000000016,412.198,410.372,411.298,-1.0
2004-01-22 00:00:00,410.043,410.99800000000016,409.581,410.039,-1.0
